[perf] 81 frames | engine.serialize p50=0.00 p95=0.00 max=0.03 | engine.ffi.mk_string p50=0.00 p95=0.01 max=0.02 | engine.ffi.lean p50=0.97 p95=1.37 max=1.51 | engine.ffi.into_string p50=0.01 p95=0.02 max=0.06 | engine.deserialize p50=0.05 p95=0.08 max=0.22 | engine.total p50=1.12 p95=1.51 max=1.87 | frontend.slide p50=0.04 p95=0.15 max=0.21 | frontend.draw_input p50=0.41 p95=0.80 max=1.36 | frontend p50=0.48 p95=0.98 max=1.53 | egui p50=1.34 p95=2.15 max=3.33 | total p50=3.02 p95=4.52 max=5.23
[perf] 80 frames | engine.serialize p50=0.00 p95=0.01 max=0.01 | engine.ffi.mk_string p50=0.00 p95=0.01 max=0.02 | engine.ffi.lean p50=1.02 p95=1.73 max=1.94 | engine.ffi.into_string p50=0.01 p95=0.02 max=0.18 | engine.deserialize p50=0.06 p95=0.11 max=0.23 | engine.total p50=1.18 p95=2.02 max=2.43 | frontend.slide p50=0.04 p95=0.12 max=0.18 | frontend.draw_input p50=0.30 p95=0.85 max=1.20 | frontend p50=0.37 p95=1.01 max=1.33 | egui p50=1.38 p95=2.19 max=4.21 | total p50=2.95 p95=5.18 max=6.24
[perf] 80 frames | engine.serialize p50=0.00 p95=0.01 max=0.03 | engine.ffi.mk_string p50=0.00 p95=0.01 max=0.07 | engine.ffi.lean p50=1.41 p95=2.04 max=3.35 | engine.ffi.into_string p50=0.01 p95=0.04 max=0.14 | engine.deserialize p50=0.08 p95=0.11 max=0.31 | engine.total p50=1.61 p95=2.38 max=3.61 | frontend.slide p50=0.05 p95=0.10 max=0.14 | frontend.draw_input p50=0.43 p95=0.61 max=0.92 | frontend p50=0.50 p95=0.75 max=1.08 | egui p50=1.61 p95=2.92 max=4.10 | total p50=3.90 p95=5.65 max=8.29
[perf] 81 frames | engine.serialize p50=0.00 p95=0.01 max=0.04 | engine.ffi.mk_string p50=0.01 p95=0.01 max=0.01 | engine.ffi.lean p50=1.42 p95=1.58 max=1.91 | engine.ffi.into_string p50=0.01 p95=0.02 max=0.02 | engine.deserialize p50=0.08 p95=0.11 max=0.14 | engine.total p50=1.66 p95=1.81 max=2.27 | frontend.slide p50=0.06 p95=0.10 max=0.14 | frontend.draw_input p50=0.53 p95=0.65 max=0.75 | frontend p50=0.61 p95=0.74 max=0.84 | egui p50=1.54 p95=1.87 max=2.91 | total p50=3.83 p95=4.63 max=5.28
[perf] 80 frames | engine.serialize p50=0.00 p95=0.01 max=0.04 | engine.ffi.mk_string p50=0.00 p95=0.01 max=0.02 | engine.ffi.lean p50=1.53 p95=1.64 max=1.80 | engine.ffi.into_string p50=0.01 p95=0.01 max=0.02 | engine.deserialize p50=0.08 p95=0.12 max=0.14 | engine.total p50=1.75 p95=1.93 max=2.01 | frontend.slide p50=0.06 p95=0.10 max=0.15 | frontend.draw_input p50=0.57 p95=0.66 max=0.73 | frontend p50=0.65 p95=0.75 max=0.82 | egui p50=1.66 p95=1.88 max=2.11 | total p50=4.09 p95=4.44 max=4.61
[perf] 81 frames | engine.serialize p50=0.00 p95=0.01 max=0.03 | engine.ffi.mk_string p50=0.00 p95=0.01 max=0.03 | engine.ffi.lean p50=1.53 p95=1.64 max=1.75 | engine.ffi.into_string p50=0.01 p95=0.02 max=0.03 | engine.deserialize p50=0.08 p95=0.11 max=0.13 | engine.total p50=1.76 p95=2.00 max=2.28 | frontend.slide p50=0.06 p95=0.09 max=0.14 | frontend.draw_input p50=0.56 p95=0.63 max=0.65 | frontend p50=0.65 p95=0.71 max=0.74 | egui p50=1.66 p95=1.86 max=1.96 | total p50=4.11 p95=4.34 max=4.75
[perf] 80 frames | engine.serialize p50=0.00 p95=0.02 max=0.02 | engine.ffi.mk_string p50=0.01 p95=0.01 max=0.03 | engine.ffi.lean p50=1.53 p95=1.73 max=2.78 | engine.ffi.into_string p50=0.02 p95=0.03 max=0.06 | engine.deserialize p50=0.08 p95=0.12 max=0.13 | engine.total p50=1.77 p95=2.19 max=3.05 | frontend.slide p50=0.06 p95=0.12 max=0.14 | frontend.draw_input p50=0.55 p95=0.65 max=1.05 | frontend p50=0.63 p95=0.73 max=1.16 | egui p50=1.65 p95=2.27 max=2.58 | total p50=4.09 p95=4.92 max=6.30
[perf] 81 frames | engine.serialize p50=0.00 p95=0.01 max=0.04 | engine.ffi.mk_string p50=0.00 p95=0.01 max=0.02 | engine.ffi.lean p50=1.56 p95=1.70 max=2.01 | engine.ffi.into_string p50=0.01 p95=0.02 max=0.03 | engine.deserialize p50=0.08 p95=0.11 max=0.17 | engine.total p50=1.78 p95=1.97 max=2.24 | frontend.slide p50=0.06 p95=0.12 max=0.21 | frontend.draw_input p50=0.57 p95=0.66 max=0.80 | frontend p50=0.65 p95=0.74 max=0.88 | egui p50=1.71 p95=1.92 max=2.35 | total p50=4.17 p95=4.50 max=4.71
[perf] 79 frames | engine.serialize p50=0.00 p95=0.01 max=0.03 | engine.ffi.mk_string p50=0.01 p95=0.01 max=0.01 | engine.ffi.lean p50=1.56 p95=1.83 max=3.48 | engine.ffi.into_string p50=0.01 p95=0.01 max=0.10 | engine.deserialize p50=0.08 p95=0.12 max=0.14 | engine.total p50=1.79 p95=2.17 max=3.73 | frontend.slide p50=0.06 p95=0.09 max=0.15 | frontend.draw_input p50=0.50 p95=0.64 max=1.26 | frontend p50=0.59 p95=0.72 max=1.47 | egui p50=1.64 p95=2.48 max=4.42 | total p50=4.05 p95=4.92 max=7.16
[perf] 81 frames | engine.serialize p50=0.00 p95=0.00 max=0.01 | engine.ffi.mk_string p50=0.00 p95=0.01 max=0.03 | engine.ffi.lean p50=1.24 p95=1.86 max=3.52 | engine.ffi.into_string p50=0.01 p95=0.03 max=0.05 | engine.deserialize p50=0.07 p95=0.12 max=0.31 | engine.total p50=1.39 p95=2.10 max=3.86 | frontend.slide p50=0.04 p95=0.07 max=0.17 | frontend.draw_input p50=0.24 p95=0.44 max=0.49 | frontend p50=0.31 p95=0.52 max=0.62 | egui p50=1.38 p95=2.44 max=4.24 | total p50=3.26 p95=5.11 max=6.81
[perf] 79 frames | engine.serialize p50=0.00 p95=0.01 max=0.03 | engine.ffi.mk_string p50=0.01 p95=0.01 max=0.04 | engine.ffi.lean p50=1.57 p95=2.44 max=3.86 | engine.ffi.into_string p50=0.01 p95=0.02 max=0.27 | engine.deserialize p50=0.08 p95=0.13 max=0.28 | engine.total p50=1.80 p95=2.72 max=4.39 | frontend.slide p50=0.05 p95=0.18 max=0.24 | frontend.draw_input p50=0.40 p95=0.79 max=0.98 | frontend p50=0.48 p95=0.90 max=1.58 | egui p50=1.63 p95=2.78 max=6.79 | total p50=4.01 p95=7.15 max=11.75
[perf] 79 frames | engine.serialize p50=0.00 p95=0.01 max=0.05 | engine.ffi.mk_string p50=0.01 p95=0.02 max=0.07 | engine.ffi.lean p50=1.70 p95=2.23 max=2.92 | engine.ffi.into_string p50=0.01 p95=0.02 max=0.06 | engine.deserialize p50=0.08 p95=0.13 max=0.26 | engine.total p50=1.93 p95=2.49 max=4.27 | frontend.slide p50=0.05 p95=0.15 max=0.19 | frontend.draw_input p50=0.55 p95=0.80 max=1.09 | frontend p50=0.62 p95=0.91 max=1.26 | egui p50=1.80 p95=3.06 max=3.61 | total p50=4.48 p95=6.10 max=7.00
